admin2Name,(2014-W21),(2014-W22),(2014-W23),(2014-W24),(2014-W25),(2014-W26),(2014-W27),(2014-W28),(2014-W29),(2014-W30),(2014-W31),(2014-W32),(2014-W33),(2014-W34),(2014-W35),(2014-W36),(2014-W37),(2014-W38),(2014-W39),(2014-W40),(2014-W41),(2014-W42),(2014-W43),(2014-W44),(2014-W45),(2014-W46),(2014-W47),(2014-W48),(2014-W49),(2014-W50),(2014-W51),(2014-W52),(2015-W01),(2015-W02),(2015-W03),(2015-W04),(2015-W05),(2015-W06)
Bo,0,0,0,0,1,0,1,1,4,5,7,11,6,11,35,9,15,3,27,18,15,29,14,14,16,20,20,10,19,28,3,4,4,6,2,0,0,0
Bombali,0,0,0,1,0,0,1,0,0,5,1,2,1,11,25,31,45,84,74,87,59,62,72,67,61,41,64,68,42,19,21,18,11,14,6,7,6,2
Bonthe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kailahun,3,17,28,61,36,30,50,78,37,31,76,46,26,20,27,23,11,9,7,4,4,18,3,3,3,1,3,1,0,2,0,0,0,0,0,0,0,0
Kambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,8,3,3,5,4,15,8,4,10,10,13,11,8,11,9,21,8,12,7,9
Kenema,0,0,1,1,19,17,32,23,31,46,42,45,51,46,24,29,25,6,10,7,22,18,8,13,1,0,2,1,0,4,2,0,0,0,1,0,4,0
Koinadugu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,8,22,31,35,18,2,9,0,4,1,9,2,0,0,0,1,0
Kono,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,9,8,3,6,10,6,3,6,3,12,29,27,34,19,45,21,93,47,36,9,8,5,2
Moyamba,0,0,0,1,0,0,0,0,0,4,6,6,5,3,0,13,3,65,15,9,7,7,9,5,44,14,7,1,13,4,5,1,13,4,5,1,2,2
Port Loko,0,0,3,1,1,0,0,2,0,1,6,13,18,32,27,32,53,69,105,43,81,62,61,67,83,89,78,88,54,78,77,55,55,36,33,13,31,35
Pujehun,0,0,0,0,0,0,0,0,0,0,4,2,0,7,0,7,0,6,13,6,0,1,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Tonkolili,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,7,6,15,27,61,20,42,36,30,61,32,27,33,8,16,22,18,4,14,3,5,0,2
Western Area Rural,0,0,0,0,0,1,0,0,1,0,1,4,8,22,13,21,29,58,57,60,60,113,109,106,79,71,69,109,62,41,28,36,66,48,14,16,6,13
Western Area Urban,0,0,0,0,1,1,1,2,1,6,0,4,11,17,29,33,35,62,44,56,86,88,112,145,108,130,122,210,143,136,162,179,125,105,40,42,22,23
